id,nombre,descripcion,casa_productora,precio,existencia
1,REMEDY Calazime Skin Protectant,"Adverse effect of amphetamines, subsequent encounter","Medline Industries, Inc.",$540.21,10
2,LOESTRIN Fe 1/20,Asymptomatic varicose veins of right lower extremity,"Teva Women's Health, Inc.",$825.55,05
3,Milk of Magnesia,"Disp fx of lateral epicondyl of r humer, 7thP",Walgreen Company,$937.66,02
4,"Pollens - Weeds and Garden Plants, Ragweed, Giant Ambrosia trifida","Poisoning by succinimides and oxazolidinediones, undet",Jubilant HollisterStier LLC,$812.10,08
5,Colloidal Silver,"Unspecified injury of lung, bilateral, initial encounter",Apotheca Company,$514.56,03
6,Venlafaxine,Other superficial bite of unspecified back wall of thorax,Clinical Solutions Wholesale,$858.27,11
7,Prednisone,"Fibrous dysplasia (monostotic), unspecified shoulder",Qualitest Pharmaceuticals,$159.61,05
8,Regular Strength Aspirin EC,"Struck by falling object on oth powered watercraft, init","NCS HealthCare of KY, Inc dba Vangard Labs",$136.34,11
9,Divalproex Sodium,Partial traumatic transphalangeal amputation of l rng fngr,Mylan Institutional Inc.,$336.21,09
10,ControlRx,"Corrosion of second degree back of right hand, sequela",3M ESPE Dental Products,$699.66,13
11,CITALOPRAM,"Milt op w thermal radn effect of nuclear weapon, milt, init","International Labs, Inc.",$328.92,05
12,Solutions,"Injury of acoustic nerve, left side, subsequent encounter","Avon Products, Inc.",$734.89,06
13,Treatment Set TS330359,"Laceration w/o fb of l idx fngr w damage to nail, subs","Antigen Laboratories, Inc.",$676.95,04
14,Corlopam,Personal history of (healed) osteoporosis fracture,"Hospira, Inc.",$547.39,11
15,ESIKA,"Adverse effect of unsp drug/meds/biol subst, subs","Ventura Corporation (San Juan, P.R)",$546.45,03
16,Restless Mind,"Corrosion of second degree of left knee, initial encounter",King Bio Inc.,$114.82,15
17,Quetiapine fumarate,"Burn of second degree of unspecified foot, sequela",Major Pharmaceuticals,$118.81,12
18,Tri-Vitamin with Fluoride,Multiple fx of pelvis w unstable disrupt of pelvic ring,Sancilio & Company Inc,$209.88,03
19,Lidocaine Hydrochloride,Rickettsialpox due to Rickettsia akari,REMEDYREPACK INC.,$814.86,07
20,Acyclovir,Heat syncope,Bryant Ranch Prepack,$931.69,01
21,SHAKING SMOOTHIE ALOE MASK,"Assault by hot fluids, subsequent encounter","NATURE REPUBLIC CO., LTD.",$786.55,06
22,Fluconazole,"Crushing injury of left thumb, initial encounter",Citron Pharma LLC,$361.17,02
23,Oil-Free Daily Face,"Cataract with neovascularization, left eye",Walgreen Company,$852.38,03
24,Nitrofurantoin (monohydrate/macrocrystals),"Post-traumatic urethral stricture, male, meatal","Eon Labs, Inc.",$728.06,11
25,MiraLAX,"Unsp open wound of left lesser toe(s) w damage to nail, init",Cardinal Health,$619.83,15
26,Tilia Fe,"Mech compl of int fix of left femur, sequela","Watson Pharma, Inc.",$852.19,04
27,Nabumetone,Anterior dislocation of left ulnohumeral joint,Par Pharmaceutical Inc.,$598.36,07
28,TRUFFLE EX WRINKLE SLEEPING MASK,"Displ commnt fx shaft of unsp femr, 7thP","NATURE REPUBLIC CO., LTD.",$353.42,11
29,Pradaxa,Other specified hereditary hemolytic anemias,Boehringer Ingelheim Pharmaceuticals Inc.,$336.73,12
30,Ignatia Bryophyllum,"Pain due to nervous system prosth dev/grft, init",Uriel Pharmacy Inc.,$456.36,04
31,Multi-Vitamin Fluoride Drops,"Unilateral post-traumatic osteoarthritis, unspecified hip","H.J. Harkins Company, Inc.",$295.99,07
32,Doxycyclate Hyclate,Dissection of aorta,"Golden State Medical Supply, Inc.",$538.37,05
33,Prednisone,Congenital renal artery stenosis,REMEDYREPACK INC.,$298.98,04
34,Vicks VapoDrops,"Sprain of other specified parts of left knee, sequela",Procter & Gamble Manufacturing Company,$527.44,02
35,Quality Choice Cold and Sore Throat,"Antepartum hemorrhage with afibrinogenemia, first trimester",Chain Drug Marketing Association,$688.82,09
36,RHIZOPUS ARRHIZUS VAR ARRHIZUS,Drug-induced tremor,"ALK-Abello, Inc.",$658.24,04
37,Noble Lion Medicated Balm,"Nondisplaced Zone I fracture of sacrum, sequela","ABBP (ARRINGTON, BATTLE, BELL & PERRY), LLC",$633.19,05
38,dextroamphetamine sulfate,Underdosing of unspecified psychodysleptics,"Talec Pharma, LLC",$45.20,13
39,"Pollens - Weeds and Garden Plants, Sagebrush, Mugwort Artemisia vulgaris","Insect bite (nonvenomous) of scrotum and testes, subs encntr",Jubilant HollisterStier LLC,$88.45,07
40,TIGAN,"Episcleritis periodica fugax, left eye",REMEDYREPACK INC.,$789.04,02
41,IQ Dental Mepivacaine,"Extreme immaturity of NB, gestatnl age 26 completed weeks",IQ Dental,$809.61,11
42,CLADOSPORIUM SPHAEROSPERMUM,Oth place in single-family (private) house as place,"ALK-Abello, Inc.",$202.12,13
43,Brontuss,Hemiplga following nontraumatic subarachnoid hemorrhage,Portal Inc.,$475.44,03
44,4 in 1 Pressed Mineral SPF 15 Blush Medium,Deviated nasal septum,PUR MINERALS,$734.15,03
45,Orapred,"Nondisp intartic fx unsp calcaneus, subs for fx w routn heal",Concordia Pharmaceuticals Inc.,$265.26,03
46,Moore Medical Antacid,"Nondisp seg fx shaft of unsp tibia, 7thN",Moore Medical LLC,$172.60,01
47,balance-n-brighten,"Ped w convey injured in collision w hv veh in traf, sequela",LAURA GELLER MAKE UP INC.,$121.28,05
48,Secura EPC Skin Care Starter Kit,"Infection of intervertebral disc (pyogenic), lumbar region","Smith & Nephew, Inc.",$30.05,09
49,Allergenic Extracts Standardized Mite,Encounter for examination and observation for oth reasons,"Greer Laboratories, Inc.",$98.30,07
50,Laxative pills,"Disp fx of lateral malleolus of unsp fibula, 7thN",Freds Inc,$779.79,04
51,Bio Argimony,"Toxic effect of cobra venom, accidental, init","BioActive Nutritional, Inc.",$634.71,04
52,Xolox,Conjunctival hyperemia,Rebel Distributors Corp,$920.90,14
53,HYDRACLEAR HYDRATING ACNE GEL,"Disp fx of lateral malleolus of r fibula, 7thG","KATE SOMERVILLE SKINCARE, LLC",$186.66,03
54,Aqua Rush Serum,"Pnctr w/o fb of unsp eyelid and periocular area, sequela","AMI Cosmetic Co.,Ltd.",$756.15,15
55,Saccharomyces,"Adverse effect of unsp drug/meds/biol subst, init","Antigen Laboratories, Inc.",$902.76,07
56,FAST RELIEF ARTROSAMIN,"Displaced transverse fx shaft of right ulna, sequela",Chemco Corporation,$23.50,08
57,flormar REBORN BB SUNSCREEN BROAD SPECTRUM SPF 30 CP07 Nude Beige,"Laceration without foreign body, right knee, init encntr",Kosan Kozmetik Sanayi ve Ticaret A.S.,$391.70,01
58,MENOMUNE - A/C/Y/W-135 COMBINED,"Poisoning by antineopl and immunosup drugs, assault, sequela",Sanofi Pasteur Inc.,$502.97,09
59,Navy Bean,"Person outside 3-whl mv inj in clsn w hv veh in traf, subs","Antigen Laboratories, Inc.",$30.64,01
60,Exelon,"Toxic effect of methanol, assault, sequela","Physicians Total Care, Inc.",$755.38,02
61,Amoxicillin,"Torus fracture of upper end of left humerus, init",Teva Pharmaceuticals USA Inc,$985.44,03
62,ENALAPRIL MALEATE,Type 1 diabetes mellitus with other specified complication,Wockhardt USA LLC.,$674.64,05
63,Hydrochlorothiazide,"Residual stage of open-angle glaucoma, unspecified eye",Carilion Materials Management,$169.53,06
64,Gnaphalium Stannum,"Dislocation of sacroiliac and sacrococcygeal joint, init",Uriel Pharmacy Inc.,$857.20,06
65,Tranexamic Acid,"Other specified injuries of thyroid gland, subs encntr","APP Pharmaceuticals, LLC",$623.09,01
66,Metformin Hydrochloride,Oth diab with prolif diabetic rtnop with trctn dtch macula,"PD-Rx Pharmaceuticals, Inc.",$232.69,09
67,Octreotide Acetate,"Oth fx shaft of rad, unsp arm, subs for clos fx w nonunion",SUN PHARMACEUTICAL INDUSTRIES LIMITED,$91.00,12
68,Lorazepam,"Displ spiral fx shaft of l tibia, init for opn fx type I/2","Hospira, Inc.",$439.78,09
69,Triple Antibiotic,Animal-rider injured in collision w rail trn/veh,Rite Aid Corporation,$95.94,14
70,LISINOPRIL,"Displ lateral mass fx 1st cervcal vert, 7thD",Lake Erie Medical DBA Quality Care Products LLC,$300.58,14
71,Desmopressin Acetate,"Pathological fracture, left finger(s)",BluePoint Laboratories,$376.26,03
